query,score,job_titles
data scientist,90,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
data scientist,90,Native English Teacher at EPIK (English Program in Korea)
data scientist,90,Student at Humber College and Aspiring Human Resources Generalist
data scientist,90,Advisory Board Member at Celal Bayar University
data scientist,90,Human Resources Coordinator at InterContinental Buckhead Atlanta
data scientist,90,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
data scientist,90,Student at Chapman University
data scientist,90,Student at Humber College and Aspiring Human Resources Generalist
data scientist,90,Aspiring Human Resources Management student seeking an internship
data scientist,90,Seeking Human Resources Opportunities
machine learning engineer,90,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
machine learning engineer,90,Native English Teacher at EPIK (English Program in Korea)
machine learning engineer,90,Aspiring Human Resources Management student seeking an internship
machine learning engineer,90,Seeking Human Resources HRIS and Generalist Positions
machine learning engineer,90,Student at Chapman University
machine learning engineer,90,Liberal Arts Major. Aspiring Human Resources Analyst.
machine learning engineer,70,HR Senior Specialist
machine learning engineer,70,People Development Coordinator at Ryan
machine learning engineer,70,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
machine learning engineer,70,Human Resources Coordinator at InterContinental Buckhead Atlanta
backend developer,90,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
backend developer,90,Native English Teacher at EPIK (English Program in Korea)
backend developer,90,Aspiring Human Resources Management student seeking an internship
backend developer,90,Seeking Human Resources Opportunities
backend developer,90,Student at Chapman University
backend developer,90,Liberal Arts Major. Aspiring Human Resources Analyst.
backend developer,90,Seeking Human Resources HRIS and Generalist Positions
backend developer,70,HR Senior Specialist
backend developer,70,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR"
backend developer,70,Human Resources Coordinator at InterContinental Buckhead Atlanta
product manager,90,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
product manager,90,Native English Teacher at EPIK (English Program in Korea)
product manager,90,Aspiring Human Resources Professional
product manager,90,Seeking Human Resources Opportunities
product manager,90,Student at Humber College and Aspiring Human Resources Generalist
product manager,90,Aspiring Human Resources Management student seeking an internship
product manager,90,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
product manager,90,Advisory Board Member at Celal Bayar University
product manager,90,Native English Teacher at EPIK (English Program in Korea)
product manager,90,Liberal Arts Major. Aspiring Human Resources Analyst.
