query,score,job_titles
data scientist,20,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
data scientist,10,Native English Teacher at EPIK (English Program in Korea)
data scientist,10,Aspiring Human Resources Professional
data scientist,10,People Development Coordinator at Ryan
data scientist,10,Advisory Board Member at Celal Bayar University
data scientist,10,Aspiring Human Resources Specialist
data scientist,10,Student at Humber College and Aspiring Human Resources Generalist
data scientist,10,HR Senior Specialist
data scientist,10,Student at Humber College and Aspiring Human Resources Generalist
data scientist,10,Seeking Human Resources HRIS and Generalist Positions
machine learning engineer,20,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
machine learning engineer,10,Native English Teacher at EPIK (English Program in Korea)
machine learning engineer,10,Aspiring Human Resources Professional
machine learning engineer,10,People Development Coordinator at Ryan
machine learning engineer,10,Advisory Board Member at Celal Bayar University
machine learning engineer,10,Aspiring Human Resources Specialist
machine learning engineer,10,Student at Humber College and Aspiring Human Resources Generalist
machine learning engineer,10,HR Senior Specialist
machine learning engineer,10,Student at Humber College and Aspiring Human Resources Generalist
machine learning engineer,10,Seeking Human Resources HRIS and Generalist Positions
backend developer,20,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
backend developer,10,Native English Teacher at EPIK (English Program in Korea)
backend developer,10,Aspiring Human Resources Professional
backend developer,10,People Development Coordinator at Ryan
backend developer,10,Advisory Board Member at Celal Bayar University
backend developer,10,Aspiring Human Resources Specialist
backend developer,10,Student at Humber College and Aspiring Human Resources Generalist
backend developer,10,HR Senior Specialist
backend developer,10,Student at Humber College and Aspiring Human Resources Generalist
backend developer,10,Seeking Human Resources HRIS and Generalist Positions
product manager,30,Native English Teacher at EPIK (English Program in Korea)
product manager,25,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
product manager,25,People Development Coordinator at Ryan
product manager,25,Aspiring Human Resources Specialist
product manager,20,Aspiring Human Resources Professional
product manager,20,Advisory Board Member at Celal Bayar University
product manager,20,Student at Humber College and Aspiring Human Resources Generalist
product manager,20,HR Senior Specialist
product manager,20,Student at Humber College and Aspiring Human Resources Generalist
product manager,20,Seeking Human Resources HRIS and Generalist Positions
