query,score,job_titles
data scientist,0,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
data scientist,0,Native English Teacher at EPIK (English Program in Korea)
data scientist,0,Aspiring Human Resources Professional
data scientist,0,People Development Coordinator at Ryan
data scientist,0,Advisory Board Member at Celal Bayar University
data scientist,0,Aspiring Human Resources Specialist
data scientist,0,Student at Humber College and Aspiring Human Resources Generalist
data scientist,0,HR Senior Specialist
data scientist,0,Student at Humber College and Aspiring Human Resources Generalist
data scientist,0,Seeking Human Resources HRIS and Generalist Positions
machine learning engineer,0,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
machine learning engineer,0,Native English Teacher at EPIK (English Program in Korea)
machine learning engineer,0,Aspiring Human Resources Professional
machine learning engineer,0,People Development Coordinator at Ryan
machine learning engineer,0,Advisory Board Member at Celal Bayar University
machine learning engineer,0,Aspiring Human Resources Specialist
machine learning engineer,0,Student at Humber College and Aspiring Human Resources Generalist
machine learning engineer,0,HR Senior Specialist
machine learning engineer,0,Student at Humber College and Aspiring Human Resources Generalist
machine learning engineer,0,Seeking Human Resources HRIS and Generalist Positions
backend developer,2,Native English Teacher at EPIK (English Program in Korea)
backend developer,1,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional
backend developer,0,Aspiring Human Resources Professional
backend developer,0,People Development Coordinator at Ryan
backend developer,0,Advisory Board Member at Celal Bayar University
backend developer,0,Aspiring Human Resources Specialist
backend developer,0,Student at Humber College and Aspiring Human Resources Generalist
backend developer,0,HR Senior Specialist
backend developer,0,Student at Humber College and Aspiring Human Resources Generalist
backend developer,0,Seeking Human Resources HRIS and Generalist Positions
product manager,100,Aspiring Human Resources Manager | Graduating May 2020 | Seeking an Entry-Level Human Resources Position in St. Louis
product manager,99,Seeking Human Resources Position
product manager,98,Student
product manager,97,Aspiring Human Resources Professional
product manager,96,"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint"
product manager,95,Student at Westfield State University
product manager,94,Seeking Human  Resources Opportunities. Open to travel and relocation.
product manager,93,Admissions Representative at Community medical center long beach
product manager,92,Seeking employment opportunities within Customer Service or Patient Care
product manager,91,Lead Official at Western Illinois University
